Class Path,P1,P2,P3,P4,P5
project-fast\src\main\java\io\linfeng\modules\oss\service\impl\SysOssServiceImpl.java,45,37,31,41,36
project-fast\src\main\java\io\linfeng\modules\oss\service\SysOssService.java,20,9,8,16,11
project-fast\src\main\java\io\linfeng\modules\sys\controller\AbstractController.java,31,28,25,38,32
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysConfigController.java,53,37,33,49,30
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysLogController.java,40,32,30,41,29
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysLoginController.java,102,86,75,91,79
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysMenuController.java,148,124,115,137,120
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysRoleController.java,65,49,45,56,43
project-fast\src\main\java\io\linfeng\modules\sys\controller\SysUserController.java,90,77,70,82,80
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysConfigDao.java,30,25,23,31,23
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysMenuDao.java,32,23,20,38,21
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysRoleDao.java,23,12,15,16,16
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysRoleMenuDao.java,31,19,17,26,20
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserDao.java,51,34,29,38,33
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserRoleDao.java,25,16,15,21,18
project-fast\src\main\java\io\linfeng\modules\sys\dao\SysUserTokenDao.java,40,26,24,31,25
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Filter.java,145,125,115,134,123
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Realm.java,100,88,78,100,89
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\OAuth2Token.java,55,45,35,51,46
project-fast\src\main\java\io\linfeng\modules\sys\oauth2\TokenGenerator.java,95,89,80,103,88
project-fast\src\main\java\io\linfeng\modules\sys\redis\SysConfigRedis.java,55,36,33,51,37
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\ShiroServiceImpl.java,82,64,59,68,61
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysCaptchaServiceImpl.java,70,67,58,78,55
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysConfigServiceImpl.java,105,93,85,98,88
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysLogServiceImpl.java,40,26,24,38,27
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysMenuServiceImpl.java,162,148,135,154,151
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysRoleMenuServiceImpl.java,69,62,54,77,63
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysRoleServiceImpl.java,107,93,86,108,96
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysUserRoleServiceImpl.java,55,49,45,55,47
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysUserServiceImpl.java,110,87,77,98,91
project-fast\src\main\java\io\linfeng\modules\sys\service\impl\SysUserTokenServiceImpl.java,65,57,50,68,61
project-fast\src\main\java\io\linfeng\modules\sys\service\ShiroService.java,37,20,19,26,24
project-fast\src\main\java\io\linfeng\modules\sys\service\SysCaptchaService.java,40,32,27,39,34
project-fast\src\main\java\io\linfeng\modules\sys\service\SysConfigService.java,44,29,26,40,25
project-fast\src\main\java\io\linfeng\modules\sys\service\SysLogService.java,22,11,12,18,15
project-fast\src\main\java\io\linfeng\modules\sys\service\SysMenuService.java,55,31,25,44,33
project-fast\src\main\java\io\linfeng\modules\sys\service\SysRoleMenuService.java,35,18,16,23,22
project-fast\src\main\java\io\linfeng\modules\sys\service\SysRoleService.java,38,22,20,29,20
project-fast\src\main\java\io\linfeng\modules\sys\service\SysUserRoleService.java,36,23,24,38,21
project-fast\src\main\java\io\linfeng\modules\sys\service\SysUserService.java,36,23,22,34,20
project-fast\src\main\java\io\linfeng\modules\sys\service\SysUserTokenService.java,38,21,20,31,25
